Files,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29, Class
BellyPain05,2480.2631578947367, 2297.222222222222, 2384.7953216374267, 2303.801169590643, 2497.5146198830407, 2242.9824561403507, 2368.4210526315787, 2494.152046783626, 2467.836257309941, 2402.33918128655, 2311.988304093567, 2477.777777777778, 2296.345029239766, 2353.362573099415, 2365.93567251462, 2451.461988304093, 2309.3567251461986, 2327.0467836257308, 2304.3859649122805, 2343.4210526315787, 2426.1695906432747, 2402.1929824561403, 2244.152046783626, 2396.345029239766, 2472.222222222222, 2310.2339181286548, 2470.46783625731, 2478.801169590643, 2492.1052631578946, 2258.0409356725145,0
BellyPain06,1219.648093841642, 1219.5014662756596, 1219.3548387096773, 1217.3020527859237, 1220.0879765395894, 1213.9296187683283, 1214.5161290322578, 2421.114369501466, 2421.2609970674484, 1213.7829912023458, 1219.9413489736069, 1217.448680351906, 405.86510263929614, 1217.5953079178885, 1212.1700879765394, 1217.1554252199412, 1219.7947214076244, 405.71847507331375, 1099.2668621700877, 406.30498533724335, 2384.0175953079174, 1214.6627565982403, 1219.2082111436948, 1212.023460410557, 2383.431085043988, 2311.58357771261, 1212.756598240469, 1214.0762463343108, 2421.9941348973603, 2420.9677419354834,0
BellyPain08,1301.169590643275, 1298.391812865497, 841.812865497076, 1298.830409356725, 1326.169590643275, 1312.1345029239765, 829.093567251462, 1293.7134502923975, 843.1286549707602, 1325.1461988304093, 858.187134502924, 1295.6140350877192, 823.6842105263157, 837.280701754386, 832.7485380116958, 860.0877192982456, 1300.2923976608186, 1247.076023391813, 838.7426900584795, 1373.391812865497, 953.3625730994152, 1330.2631578947369, 860.9649122807017, 1368.421052631579, 1299.2690058479532, 1364.6198830409355, 1308.187134502924, 1298.6842105263156, 1328.8011695906432, 843.2748538011696,0
Cold_Hot08,2177.33918128655, 2177.6315789473683, 2176.9005847953217, 2176.4619883040937, 2177.1929824561403, 2176.754385964912, 2177.0467836257308, 2177.777777777778, 2177.923976608187, 2178.0701754385964, 2177.485380116959, 2176.315789473684, 2178.362573099415, 2178.654970760234, 1515.204678362573, 2175.7309941520466, 2176.1695906432747, 2178.216374269006, 2176.6081871345027, 2176.023391812865, 2179.093567251462, 2178.5087719298244, 2226.6081871345027, 2325.7309941520466, 2180.7017543859647, 2326.461988304093, 2179.53216374269, 2178.9473684210525, 2175.877192982456, 2325.146198830409,0
Cold_Hot09,827.927927927928, 828.5285285285286, 859.6096096096096, 865.4654654654655, 904.2042042042042, 827.1771771771772, 834.8348348348349, 859.4594594594595, 828.6786786786787, 847.1471471471472, 853.9039039039039, 859.7597597597597, 875.8258258258259, 839.4894894894895, 860.3603603603603, 901.2012012012012, 853.7537537537538, 896.8468468468469, 827.0270270270271, 896.2462462462463, 860.5105105105105, 845.7957957957958, 901.3513513513514, 892.6426426426426, 840.0900900900901, 872.972972972973, 856.1561561561562, 859.1591591591591, 903.6036036036036, 799.6996996996997,0
Lonely01,1120.9537572254337, 1121.0982658959538, 1121.6763005780347, 1121.5317919075146, 1121.3872832369943, 1121.242774566474, 1121.820809248555, 1120.8092485549134, 1121.9653179190752, 1120.6647398843932, 1120.3757225433526, 1120.2312138728325, 1120.5202312138729, 1122.1098265895955, 1120.0867052023123, 1122.2543352601158, 1122.3988439306358, 1119.942196531792, 1122.5433526011561, 1119.7976878612717, 1119.5086705202314, 1119.6531791907516, 1122.6878612716764, 1119.364161849711, 1119.2196531791908, 1118.7861271676302, 1118.64161849711, 1122.8323699421967, 1118.9306358381505, 1119.0751445086705,0
Lonely03,859.4827586206897, 859.9137931034483, 860.3448275862069, 860.2011494252873, 859.3390804597701, 874.7126436781608, 859.7701149425287, 861.2068965517241, 859.0517241379309, 875.0, 861.6379310344827, 874.8563218390804, 860.7758620689655, 875.1436781609195, 860.6321839080459, 858.9080459770114, 871.8390804597701, 858.1896551724137, 875.2873563218391, 858.6206896551723, 858.4770114942528, 871.5517241379309, 874.5689655172413, 868.6781609195402, 871.6954022988505, 868.5344827586206, 861.0632183908045, 874.4252873563217, 875.4310344827586, 871.9827586206897,0
Lonely04,547.9885057471264, 549.1379310344827, 99.56896551724137, 532.9022988505747, 549.5689655172414, 548.419540229885, 546.8390804597701, 139.22413793103448, 548.8505747126436, 159.6264367816092, 546.4080459770115, 547.5574712643678, 547.2701149425287, 96.8390804597701, 549.8563218390805, 548.7068965517241, 550.2873563218391, 551.4367816091954, 110.63218390804597, 547.7011494252873, 532.183908045977, 130.17241379310343, 533.3333333333333, 532.471264367816, 532.6149425287356, 552.155172413793, 545.9770114942528, 103.16091954022988, 547.1264367816092, 531.7528735632184,0

Hunger-01,955.1575931232092, 957.1633237822349, 965.9025787965616, 898.567335243553, 959.1690544412606, 933.2378223495701, 954.297994269341, 961.4613180515759, 963.8968481375358, 953.1518624641833, 898.8538681948423, 959.5988538681947, 900.4297994269341, 954.8710601719197, 955.4441260744985, 962.0343839541547, 939.1117478510029, 964.8997134670486, 933.5243553008595, 946.8481375358166, 898.1375358166189, 898.2808022922635, 923.3524355300859, 964.0401146131804, 940.1146131805157, 961.1747851002865, 951.2893982808023, 935.2435530085959, 897.8510028653294, 953.4383954154728,0
